!Property,!Text,!Note
SettingsBandwidthInAlertTooltip,Seuil en kbps ou kBps … laquelle la bande passante re‡u g‚nŠre une alerte. Mettez 0 pour d‚sactiver.,Settings bandwidth in alert tooltip
SettingsBandwidthOutAlert,Alerte Bande Passante sortante,Settings bandwidth out alert label
SettingsBandwidthOutAlertTooltip,Seuil en kbps ou kBps … laquelle la bande passante envoy‚e g‚nŠre une alerte. Mettez 0 pour d‚sactiver.,Settings bandwidth out alert tooltip
SettingsClickThrough,Clic au travers,Settings click through label
SettingsClickThroughTooltip,Permet de laisser passer les ‚venements de la souris au travers de la fenˆtre. Notez que cela permettra d'‚viter toute interaction avec la sidebar.,Settings click through tooltip
SettingsCollapseMenuBar,D‚plier la Barre du Menu,Settings collapse menu bar label
SettingsCollapseMenuBarTooltip,Supprime l'espace suppl‚mentaire en haut de la sibedar.,Settings collapse menu bar tooltip
SettingsCoreLoads,Afficher le chargement des c?urs,Settings core loads label
SettingsCoreLoadsTooltip,Affiche la charge en pourcentage de tous les c?urs. ,Settings core loads tooltip
SettingsCustomizeTab,Personnaliser,Title of the settings customize tab
SettingsDateFormat,Format de la date,Settings date format label
SettingsDateFormatDisabled,D‚sactiv‚,Settings date format disabled value
SettingsDateFormatTooltip,Format de la date sous l'heure. ,Settings date format tooltip
SettingsDock,Encrage,Dock settings label
SettingsDockBottom,Bas,Dock bottom settings label
SettingsDockLeft,Gauche,Dock left settings label
SettingsDockRight,Droite,Dock right settings label
SettingsDockTooltip,Sur quelle c“t‚ la sidebar doit se positionner.,Dock settings tooltip
SettingsDockTop,Haut,Dock top settings label
SettingsDriveDetailsTooltip,Affiche les d‚tails suppl‚mentaires des disques durs sous forme de texte.,Settings drive details tooltip
SettingsFontColor,Couleur de la police,Settings font color label
SettingsFontColorTooltip,Couleur du texte et des ic“nes.,Settings font color tooltip
SettingsFontSize,Taille de la police,Settings font size label
SettingsFontSizeTooltip,Taille du texte et des ic“nes.,Settings font size tooltip
SettingsGeneralTab,G‚n‚ral,Title of the settings general tab
SettingsHardwareColumn1,Activ‚,Settings hardware data grid enabled column header
SettingsHardwareColumn2,Mat‚riel,Settings hardware data grid hardware column header
