!Property,!Text,!Note
SettingsCollapseMenuBarTooltip,Removes the extra space at the top of the sidebar.,Settings collapse menu bar tooltip
SettingsCoreLoads,Show Core Loads,Settings core loads label
SettingsCoreLoadsTooltip,Shows the percentage load of all cores.,Settings core loads tooltip
SettingsCustomizeTab,Customize,Title of the settings customize tab
SettingsDateFormat,Date Format,Settings date format label
SettingsDateFormatDisabled,Disabled,Settings date format disabled value
SettingsDateFormatTooltip,Format of the date below the clock.,Settings date format tooltip
SettingsDock,Dock,Dock settings label
SettingsDockBottom,Bottom,Dock bottom settings label
SettingsDockLeft,Left,Dock left settings label
SettingsDockRight,Right,Dock right settings label
SettingsDockTooltip,Which edge the sidebar will dock to.,Dock settings tooltip
SettingsDockTop,Top,Dock top settings label
SettingsDriveDetailsTooltip,Shows extra drive details as text.,Settings drive details tooltip
SettingsFontColor,Font Color,Settings font color label
SettingsFontColorTooltip,Color of text and icons.,Settings font color tooltip
SettingsFontSize,Font Size,Settings font size label
SettingsFontSizeTooltip,Size of text and icons.,Settings font size tooltip
SettingsGeneralTab,General,Title of the settings general tab
SettingsHardwareColumn1,Enabled,Settings hardware data grid enabled column header
SettingsHardwareColumn2,Hardware,Settings hardware data grid hardware column header
SettingsHardwareEnabledTooltip,Enables this hardware. (Double click to change. Known bug.),Settings hardware enabled checkbox tooltip
SettingsHardwareNameTooltip,Edit the name of this hardware.,Settings hardware name tooltip
SettingsHorizontalOffset,Horizontal Offset,Horizontal offset settings label
SettingsHorizontalOffsetTooltip,Horizontal offset of the sidebar.,Horizontal offset settings tooltip
SettingsHotkeyClose,Close,Settings hotkey close label
SettingsHotkeyCycleEdge,Switch Edge,Settings hotkey switch edge
SettingsHotkeyCycleScreen,Switch Screen,Settings hotkey switch screen
SettingsHotkeyHide,Hide,Settings hotkey hide label
SettingsHotkeyReload,Reload,Settings hotkey reload label
SettingsHotkeyShow,Show,Settings hotkey show label
SettingsHotkeysTab,Hotkeys,Title of the settings hotkeys tab
SettingsHotkeyToggle,Toggle,Settings hotkey toggle label
SettingsLanguage,Language,Settings language label
SettingsLanguageDefault,Default,Settings language default label
SettingsLanguageTooltip,Current language of the app.,Settings language tooltip
SettingsMetrics,Metrics:,Settings metrics label with colon
SettingsMetricsTooltip,Enable or disable specific metrics.,Settings metrics tooltip
SettingsMonitorEnabledTooltip,Enables this monitor.,Settings monitor enabled checkbox tooltip
SettingsMonitorsColumn1,Enabled,Settings monitors data grid enabled column header
SettingsMonitorsColumn2,Monitor,Settings monitors data grid monitor column header
SettingsMonitorsSubtitle1,Click a row to edit its settings.,Settings monitors subtitle line one
SettingsMonitorsSubtitle2,Drag a row to change its order.,Settings monitors subtitle line two
SettingsMonitorsTab,Monitors,Title of the settings monitors tab
SettingsPollingInterval,Polling Interval,Settings polling interval label
SettingsPollingIntervalTooltip,Time between polling for data in milliseconds.,Settings polling interval tooltip
SettingsReserveSpace,Reserve Space,Settings reserve space label
SettingsReserveSpaceTooltip,Reserves space in the work area for the sidebar.,Settings reserve space tooltip
SettingsRoundAllDecimals,Round All Decimals,Settings round all decimals label
SettingsRoundAllDecimalsTooltip,Round all decimal values to the nearest integer.,Settings round all decimals tooltip
SettingsRunAtStartup,Run at Startup,Settings run at startup label
SettingsRunAtStartupTooltip,Runs the app when you first log in.,Settings run at startup tooltip
SettingsScreen,Screen,Screen settings label
SettingsScreenTooltip,Which screen the sidebar will be on.,Screen settings tooltip
SettingsShowClock,Show Clock,Settings show clock label
SettingsShowClockTooltip,Shows the clock.,Settings show clock tooltip
SettingsShowDriveDetails,Show Drive Details,Settings show drive details label
SettingsShowDriveIO,Show Drive IO,Settings show drive IO label
SettingsShowDriveIOTooltip,Shows drive read and write speeds if drive details is enabled.,Settings show drive IO tooltip
SettingsShowDriveSpace,Show Drive Space,Settings show drive space label
SettingsShowDriveSpaceTooltip,"Shows load percent, used space, and free space if drive details is enabled.",Settings show drive space tooltip
SettingsShowHardwareNames,Show Hardware Names,Settings show hardware names label
SettingsShowHardwareNamesTooltip,Shows hardware names.,Settings show hardware names tooltip
SettingsShowTrayIcon,Show Tray Icon,Settings show tray icon label
SettingsShowTrayIconTooltip,Shows the tray icon in the taskbar. This is sometimes required.,Settings show tray icon tooltip
SettingsSidebarWidth,Sidebar Width,Settings sidebar width label
SettingsSidebarWidthTooltip,Width of the sidebar in pixels.,Settings sidebar width tooltip
SettingsTemperatureAlert,Temperature Alert,Settings temperature alert label
SettingsTemperatureAlertTooltip,The temperature threshold at which alerts occur. Use 0 to disable.,Settings temperature alert tooltip
SettingsTextAlign,Text Align,Settings text align label
SettingsTextAlignLeft,Left,Settings text align left value
SettingsTextAlignRight,Right,Settings text align right value
SettingsTextAlignTooltip,Alignment of metric text.,Settings text align tooltip
SettingsTitle,Sidebar Settings,Title of the settings window
SettingsUIScale,UI Scale,Settings UI scale label
SettingsUIScaleTooltip,Scale of all windows and UI components.,Settings UI scale tooltip
SettingsUseBytesPerSecond,Use Bytes Per Second,Settings use bytes per second label
SettingsUseBytesPerSecondTooltip,Shows bandwidth in bytes instead of bits per second.,Settings use bytes per second tooltip
SettingsUsedSpaceAlert,Used Space Alert,Settings used space alert label
SettingsUsedSpaceAlertTooltip,The percentage threshold at which used space alerts occur. Use 0 to disable.,Settings used space alert tooltip
SettingsUseFahrenheit,Use Fahrenheit,Settings use fahrenheit label
SettingsUseFahrenheitTooltip,Temperatures for sensors and alerts will be in Fahrenheit instead of Celcius.,Settings use fahrenheit tooltip
SettingsUseGHz,Use GHz,Settings use GHz label
SettingsUseGHzTooltip,Clock speeds will be in GHz instead of MHz.,Settings use GHz tooltip
SettingsVerticalOffset,Vertical Offset,Vertical offset settings label
SettingsVerticalOffsetTooltip,Vertical offset of the sidebar.,Vertical Offset settings tooltip
SetupCustomSubtitle,Use the sliders and textboxes to move the sidebar to the correct position.,Subtitle of the custom setup page
SetupCustomTitle,Custom,Title of the custom setup page
SetupDoneSubtitle,If you want to customize the sidebar click the settings button.,Subtitle of the setup done page
SetupDoneText,You can also access the settings via the gear icon at the top-right of the sidebar or via the tray icon in the taskbar.,Text of the setup done page
SetupDoneTitle,Done!,Title of the setup done page
SetupSubtitle,This is a quick setup to get the sidebar in the correct position.,Subtitle of the initial setup page
SetupText,Is the sidebar visible and docked to the right edge of your primary monitor?,Text of the initial setup page
SetupTitle,Initial Setup,Title of the initial setup page
Sidebar,Sidebar,Title of the sidebar window
Time,Time,Sidebar clock title
UpdateErrorFatalText,A fatal error occurred while trying to update. Auto update is now disabled.,Fatal text of the update error popup
UpdateErrorText,Unable to update. Check your internet connection.,Text of the update error popup
UpdateErrorTitle,Update Error,Title of the update error popup
UpdateSuccessText,You have the latest version.,Text of the update success popup
UpdateTitle,Updating,Title of the update window
