!Property,!Text,!Note
SettingsBandwidthOutAlert,Limite de banda de saída,Settings bandwidth out alert label
SettingsBandwidthOutAlertTooltip,Limite de kbps ou kBps no qual os alertas enviados por largura de banda ocorrem. Use 0 para desativar.,Settings bandwidth out alert tooltip
SettingsClickThrough,Clicar através,Settings click through label
SettingsClickThroughTooltip,Faz com que os eventos do mouse passem pela janela. Veja que isso impedirá qualquer interação com a sidebar.,Settings click through tooltip
SettingsCollapseMenuBar,Recolher barra de menu,Settings collapse menu bar label
SettingsCollapseMenuBarTooltip,Remove o espaço estra do topo da sidebar.,Settings collapse menu bar tooltip
SettingsCoreLoads,Mostrar uso dos Cores,Settings core loads label
SettingsCoreLoadsTooltip,Mostrar porcentual de uso de todos os cores.,Settings core loads tooltip
SettingsCustomizeTab,Customizar,Title of the settings customize tab
SettingsDateFormat,Formato da data,Settings date format label
SettingsDateFormatDisabled,Desabilitado,Settings date format disabled value
SettingsDateFormatTooltip,Formato da data que fica abaixo do relógio.,Settings date format tooltip
SettingsDock,Dock,Dock settings label
SettingsDockBottom,Inferior,Dock bottom settings label
SettingsDockLeft,Esquerda,Dock left settings label
SettingsDockRight,Direita,Dock right settings label
SettingsDockTooltip,Em qual borda a barra lateral será encaixada.,Dock settings tooltip
SettingsDockTop,Topo,Dock top settings label
SettingsDriveDetailsTooltip,Mostra os detalhes extra do drive como texto.,Settings drive details tooltip
SettingsFontColor,Cor da fonte,Settings font color label
SettingsFontColorTooltip,Cor da fonte e dos ícones,Settings font color tooltip
SettingsFontSize,Tamanho da fonte,Settings font size label
SettingsFontSizeTooltip,Cor da fonte e dos ícones.,Settings font size tooltip
SettingsGeneralTab,Geral,Title of the settings general tab
SettingsHardwareColumn1,Habilitado,Settings hardware data grid enabled column header
SettingsHardwareColumn2,Hardware,Settings hardware data grid hardware column header
SettingsHardwareEnabledTooltip,Habilita este hardware. (Clique duplo para alterar. Bug conhecido.),Settings hardware enabled checkbox tooltip
SettingsHardwareNameTooltip,Editar o nome deste hardware.,Settings hardware name tooltip
SettingsHorizontalOffset,Offset Horizontal ,Horizontal offset settings label
SettingsHorizontalOffsetTooltip,Offset Horizontal da sidebar.,Horizontal offset settings tooltip
SettingsHotkeyClose,Fechar,Settings hotkey close label
SettingsHotkeyCycleEdge,Trocar borda,Settings hotkey switch edge
SettingsHotkeyCycleScreen,Trocar tela,Settings hotkey switch screen
SettingsHotkeyHide,Esconder,Settings hotkey hide label
SettingsHotkeyReload,Recarregar,Settings hotkey reload label
SettingsHotkeyShow,Mostrar,Settings hotkey show label
SettingsHotkeysTab,Hotkeys,Title of the settings hotkeys tab
SettingsHotkeyToggle,Alterar,Settings hotkey toggle label
SettingsLanguage,Idioma,Settings language label
SettingsLanguageDefault,Padrão,Settings language default label
SettingsLanguageTooltip,Idioma padrão do aplicativo.,Settings language tooltip
SettingsMetrics,Métricas:,Settings metrics label with colon
SettingsMetricsTooltip,Habilitar ou desabilitar métricas específicas.,Settings metrics tooltip
SettingsMonitorEnabledTooltip,Habilitar esta monitor.,Settings monitor enabled checkbox tooltip
SettingsMonitorsColumn1,Habilitar,Settings monitors data grid enabled column header
SettingsMonitorsColumn2,Monitor,Settings monitors data grid monitor column header
SettingsMonitorsSubtitle1,Clique em uma linha para editar suas configurações.,Settings monitors subtitle line one
SettingsMonitorsSubtitle2,Arraste uma linha para alterar sua ordem.,Settings monitors subtitle line two
SettingsMonitorsTab,Monitores,Title of the settings monitors tab
SettingsPollingInterval,Intervalo de pesquisa,Settings polling interval label
SettingsPollingIntervalTooltip,Tempo entre a pesquisa de dados em milissegundos.,Settings polling interval tooltip
SettingsReserveSpace,Reservar espaço,Settings reserve space label
SettingsReserveSpaceTooltip,Reserva espaço para a sidebar.,Settings reserve space tooltip
SettingsRoundAllDecimals,Arredondar todos os decimais,Settings round all decimals label
SettingsRoundAllDecimalsTooltip,Arredonda todos os valores decimais para o inteiro mais próximo.,Settings round all decimals tooltip
SettingsRunAtStartup,Iniciar com o sistema,Settings run at startup label
SettingsRunAtStartupTooltip,Roda o aplicativo quando você faz login pela primeira vez.,Settings run at startup tooltip
SettingsScreen,Tela,Screen settings label
SettingsScreenTooltip,Em qual tela a barra lateral estará.,Screen settings tooltip
SettingsShowClock,Mostrar relógio,Settings show clock label
SettingsShowClockTooltip,Mostra o relógio.,Settings show clock tooltip
SettingsShowDriveDetails,Mostrar detalhes do driver,Settings show drive details label
SettingsShowDriveIO,Mostrar IO do driver,Settings show drive IO label
SettingsShowDriveIOTooltip,Mostra as velocidades de leitura e gravação da unidade se os detalhes da unidade estiverem ativados.,Settings show drive IO tooltip
SettingsShowDriveSpace,Mostrar espaço em disco,Settings show drive space label
SettingsShowDriveSpaceTooltip,"Mostra porcentagem de uso, espaço usado e espaço livre se os detalhes da unidade estiverem ativados.",Settings show drive space tooltip
SettingsShowHardwareNames,Mostrar nomes de hardware,Settings show hardware names label
SettingsShowHardwareNamesTooltip,Mostra os nomes de hardware,Settings show hardware names tooltip
SettingsShowTrayIcon,Mostrar ícone da bandeja,Settings show tray icon label
SettingsShowTrayIconTooltip,Mostra o ícone da bandeja na barra de tarefas. Isso às vezes é necessário.,Settings show tray icon tooltip
SettingsSidebarWidth,Largura da sidebar,Settings sidebar width label
SettingsSidebarWidthTooltip,Largura da  sidebar em pixels.,Settings sidebar width tooltip
SettingsTemperatureAlert,Alerta de temperatura,Settings temperature alert label
SettingsTemperatureAlertTooltip,O percentual de limite no qual os alertas de temperatura ocorrem. Use 0 para desativar.,Settings temperature alert tooltip
SettingsTextAlign,Alinhamento do texto,Settings text align label
SettingsTextAlignLeft,Esquerda,Settings text align left value
SettingsTextAlignRight,Direita,Settings text align right value
SettingsTextAlignTooltip,Alinhamento da métrica de texto,Settings text align tooltip
SettingsTitle,Configurações da Sidebar,Title of the settings window
SettingsUIScale,Zoom da interface do usuário,Settings UI scale label
SettingsUIScaleTooltip,Zoom de todas as janelas e componentes da interface do usuário.,Settings UI scale tooltip
SettingsUseBytesPerSecond,Usar Bytes por segundo,Settings use bytes per second label
SettingsUseBytesPerSecondTooltip,Mostra largura de banda em bytes em vez de bits por segundo.,Settings use bytes per second tooltip
SettingsUsedSpaceAlert,Alerta de espaço usado,Settings used space alert label
