!Property,!Text,!Note
SettingsCollapseMenuBar,收起菜单,Settings collapse menu bar label
SettingsCollapseMenuBarTooltip,移除侧边栏顶部的空白。,Settings collapse menu bar tooltip
SettingsCoreLoads,显示核心负载,Settings core loads label
SettingsCoreLoadsTooltip,分别显示每个核心的负载。,Settings core loads tooltip
SettingsCustomizeTab,自定义,Title of the settings customize tab
SettingsDateFormat,日期格式,Settings date format label
SettingsDateFormatDisabled,不显示日期,Settings date format disabled value
SettingsDateFormatTooltip,使用指定格式在系统时间下方显示当前日期。,Settings date format tooltip
SettingsDock,位置,Dock settings label
SettingsDockBottom,底部,Dock bottom settings label
SettingsDockLeft,左侧,Dock left settings label
SettingsDockRight,右侧,Dock right settings label
SettingsDockTooltip,将侧边栏放置在屏幕的指定边界。,Dock settings tooltip
SettingsDockTop,顶部,Dock top settings label
SettingsDriveDetailsTooltip,将其它磁盘信息以文本显示。,Settings drive details tooltip
SettingsFontColor,字体颜色,Settings font color label
SettingsFontColorTooltip,指定默认字体的颜色。,Settings font color tooltip
SettingsFontSize,字体大小,Settings font size label
SettingsFontSizeTooltip,指定默认字体的大小。,Settings font size tooltip
SettingsGeneralTab,通用,Title of the settings general tab
SettingsHardwareColumn1,监视,Settings hardware data grid enabled column header
SettingsHardwareColumn2,硬件列表,Settings hardware data grid hardware column header
SettingsHardwareEnabledTooltip,是否监视此硬件的状态，双击以更改。,Settings hardware enabled checkbox tooltip
SettingsHardwareNameTooltip,为此硬件指定自定义名称。,Settings hardware name tooltip
SettingsHorizontalOffset,水平偏移,Horizontal offset settings label
SettingsHorizontalOffsetTooltip,手动设置侧边栏左右偏移量。,Horizontal offset settings tooltip
SettingsHotkeyClose,关闭,Settings hotkey close label
SettingsHotkeyCycleEdge,切换屏幕边缘,Settings hotkey switch edge
SettingsHotkeyCycleScreen,切换显示器,Settings hotkey switch screen
SettingsHotkeyHide,隐藏,Settings hotkey hide label
SettingsHotkeyReload,刷新,Settings hotkey reload label
SettingsHotkeyShow,显示,Settings hotkey show label
SettingsHotkeysTab,快捷键,Title of the settings hotkeys tab
SettingsHotkeyToggle,开关,Settings hotkey toggle label
SettingsLanguage,语言,Settings language label
SettingsLanguageDefault,默认,Settings language default label
SettingsLanguageTooltip,手动设置程序界面语言。,Settings language tooltip
SettingsMetrics,项目,Settings metrics label with colon
SettingsMetricsTooltip,指定硬件监视项目。,Settings metrics tooltip
SettingsMonitorEnabledTooltip,是否监视此硬件类别。此开关控制同类别所有硬件监视器。,Settings monitor enabled checkbox tooltip
SettingsMonitorsColumn1,监视,Settings monitors data grid enabled column header
SettingsMonitorsColumn2,显示器,Settings monitors data grid monitor column header
SettingsMonitorsSubtitle1,点击某一行来修改硬件监视设置。,Settings monitors subtitle line one
SettingsMonitorsSubtitle2,拖拽某一行来重新排序。,Settings monitors subtitle line two
SettingsMonitorsTab,监视,Title of the settings monitors tab
SettingsPollingInterval,刷新频率,Settings polling interval label
SettingsPollingIntervalTooltip,指定硬件数据的刷新频率，以毫秒 (ms) 为单位。,Settings polling interval tooltip
SettingsReserveSpace,保留屏幕空间,Settings reserve space label
SettingsReserveSpaceTooltip,强制占用与窗口大小一致的屏幕空间，不允许其它应用程序在此显示。,Settings reserve space tooltip
SettingsRoundAllDecimals,保留整数,Settings round all decimals label
SettingsRoundAllDecimalsTooltip,显示整数值，四舍五入小数部分。,Settings round all decimals tooltip
SettingsRunAtStartup,自动运行,Settings run at startup label
SettingsRunAtStartupTooltip,在 Windows 启动后自动运行。,Settings run at startup tooltip
SettingsScreen,显示器,Screen settings label
SettingsScreenTooltip,指定侧边栏窗口使用的显示器。,Screen settings tooltip
SettingsShowClock,显示系统时间,Settings show clock label
SettingsShowClockTooltip,在侧边栏顶部显示系统时间。,Settings show clock tooltip
SettingsShowDriveDetails,显示磁盘详细信息,Settings show drive details label
SettingsShowDriveIO,监视磁盘读写,Settings show drive IO label
SettingsShowDriveIOTooltip,显示磁盘读取和写入速率等详细信息。,Settings show drive IO tooltip
SettingsShowDriveSpace,监视磁盘空间,Settings show drive space label
SettingsShowDriveSpaceTooltip,显示磁盘负载比、可用和已用空间等详细信息。,Settings show drive space tooltip
SettingsShowHardwareNames,显示硬件名称,Settings show hardware names label
SettingsShowHardwareNamesTooltip,显示详细的硬件名称而非硬件类别。,Settings show hardware names tooltip
SettingsShowTrayIcon,显示任务栏图标,Settings show tray icon label
SettingsShowTrayIconTooltip,在任务栏通知区域显示图标。某些情况下必须使用图标操作侧边栏。,Settings show tray icon tooltip
SettingsSidebarWidth,侧边栏宽度,Settings sidebar width label
SettingsSidebarWidthTooltip,指定侧边栏宽度，以像素为单位。,Settings sidebar width tooltip
SettingsTemperatureAlert,温度警告,Settings temperature alert label
SettingsTemperatureAlertTooltip,指定高温警告触发条件，输入 0 将停用警告。,Settings temperature alert tooltip
SettingsTextAlign,文本对齐,Settings text align label
SettingsTextAlignLeft,左侧,Settings text align left value
SettingsTextAlignRight,右侧,Settings text align right value
SettingsTextAlignTooltip,度量标准文本的对齐。,Settings text align tooltip
SettingsTitle,侧边栏设置,Title of the settings window
SettingsUIScale,界面缩放,Settings UI scale label
SettingsUIScaleTooltip,手动设置所有界面的缩放比例。,Settings UI scale tooltip
SettingsUseBytesPerSecond,替换比特为字节,Settings use bytes per second label
SettingsUseBytesPerSecondTooltip,以“字节每秒” (Byte/second) 而非“比特每秒” (Bit/second) 显示网络带宽。,Settings use bytes per second tooltip
SettingsUsedSpaceAlert,已用空间警告,Settings used space alert label
SettingsUsedSpaceAlertTooltip,指定磁盘空间警告触发条件，输入 0 将停用警告。,Settings used space alert tooltip
SettingsUseFahrenheit,替换摄氏度为华氏度,Settings use fahrenheit label
SettingsUseFahrenheitTooltip,以“华氏度” (F) 而非“摄氏度” (C) 显示温度。,Settings use fahrenheit tooltip
SettingsUseGHz,替换兆为吉,Settings use GHz label
SettingsUseGHzTooltip,以“吉赫兹” (GHz) 而非“兆赫兹” (MHz) 显示时钟频率。,Settings use GHz tooltip
SettingsVerticalOffset,垂直偏移,Vertical offset settings label
SettingsVerticalOffsetTooltip,手动设置侧边栏上下偏移量。,Vertical Offset settings tooltip
SetupCustomSubtitle,滑动滑块以指定侧边栏位置。,Subtitle of the custom setup page
SetupCustomTitle,自定义位置,Title of the custom setup page
SetupDoneSubtitle,如需自定义侧边栏界面，点击“设置”按钮。,Subtitle of the setup done page
SetupDoneText,你也可以稍后通过点击侧边栏右上角齿轮按钮或任务栏图标进入设置。,Text of the setup done page
SetupDoneTitle,初始化完成！,Title of the setup done page
SetupSubtitle,此向导将确保侧边栏显示在屏幕上正确的位置。,Subtitle of the initial setup page
SetupText,请确认侧边栏是否显示在主要显示器的屏幕最右侧？,Text of the initial setup page
SetupTitle,初始化,Title of the initial setup page
Sidebar,侧边栏,Title of the sidebar window
Time,日期和时间,Sidebar clock title
UpdateErrorFatalText,升级程序版本时出现错误。 自动升级已被暂时禁用。,Fatal text of the update error popup
UpdateErrorText,无法升级至最新版本。请检查互联网连接。,Text of the update error popup
UpdateErrorTitle,升级程序错误,Title of the update error popup
UpdateSuccessText,已安装最新版本。,Text of the update success popup
UpdateTitle,正在升级,Title of the update window
